Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
197	:	1538342387.555	   702.493	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 197' coad_mccv_enet.R
199	:	1538342388.044	   723.710	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 199' coad_mccv_enet.R
198	:	1538342387.795	   732.882	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 198' coad_mccv_enet.R
200	:	1538342388.290	   771.648	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 200' coad_mccv_enet.R
50	:	1538342352.537	   908.406	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 50' coad_mccv_enet.R
69	:	1538342357.080	   909.725	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 69' coad_mccv_enet.R
165	:	1538342379.630	   897.094	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 165' coad_mccv_enet.R
35	:	1538342349.061	   936.735	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 35' coad_mccv_enet.R
78	:	1538342359.080	   929.548	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 78' coad_mccv_enet.R
45	:	1538342351.439	   941.082	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 45' coad_mccv_enet.R
159	:	1538342378.216	   914.868	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 159' coad_mccv_enet.R
16	:	1538342344.819	   950.851	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 16' coad_mccv_enet.R
97	:	1538342363.569	   934.467	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 97' coad_mccv_enet.R
154	:	1538342377.043	   924.247	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 154' coad_mccv_enet.R
104	:	1538342365.330	   936.920	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 104' coad_mccv_enet.R
98	:	1538342363.842	   940.358	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 98' coad_mccv_enet.R
84	:	1538342360.484	   944.364	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 84' coad_mccv_enet.R
161	:	1538342378.653	   926.520	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 161' coad_mccv_enet.R
56	:	1538342353.888	   951.726	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 56' coad_mccv_enet.R
64	:	1538342355.883	   950.387	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 64' coad_mccv_enet.R
18	:	1538342345.264	   962.335	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 18' coad_mccv_enet.R
83	:	1538342360.274	   952.789	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 83' coad_mccv_enet.R
13	:	1538342344.151	   972.618	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 13' coad_mccv_enet.R
14	:	1538342344.393	   973.077	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 14' coad_mccv_enet.R
44	:	1538342351.193	   966.830	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 44' coad_mccv_enet.R
40	:	1538342350.280	   969.519	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 40' coad_mccv_enet.R
47	:	1538342351.897	   970.532	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 47' coad_mccv_enet.R
74	:	1538342358.170	   967.814	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 74' coad_mccv_enet.R
25	:	1538342346.749	   979.516	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 25' coad_mccv_enet.R
24	:	1538342346.547	   979.967	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 24' coad_mccv_enet.R
62	:	1538342355.379	   972.473	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 62' coad_mccv_enet.R
119	:	1538342368.780	   959.592	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 119' coad_mccv_enet.R
58	:	1538342354.382	   978.048	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 58' coad_mccv_enet.R
21	:	1538342345.890	   987.132	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 21' coad_mccv_enet.R
22	:	1538342346.128	   990.638	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 22' coad_mccv_enet.R
53	:	1538342353.233	   986.161	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 53' coad_mccv_enet.R
32	:	1538342348.355	   991.529	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 32' coad_mccv_enet.R
148	:	1538342375.522	   965.148	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 148' coad_mccv_enet.R
8	:	1538342343.083	   998.571	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 8' coad_mccv_enet.R
156	:	1538342377.513	   965.684	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 156' coad_mccv_enet.R
36	:	1538342349.294	   996.486	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 36' coad_mccv_enet.R
137	:	1538342372.914	   975.338	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 137' coad_mccv_enet.R
65	:	1538342356.113	   992.671	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 65' coad_mccv_enet.R
184	:	1538342384.327	   965.378	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 184' coad_mccv_enet.R
143	:	1538342374.328	   976.215	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 143' coad_mccv_enet.R
10	:	1538342343.494	  1007.067	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 10' coad_mccv_enet.R
76	:	1538342358.626	   992.828	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 76' coad_mccv_enet.R
29	:	1538342347.649	  1003.881	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 29' coad_mccv_enet.R
190	:	1538342385.831	   966.286	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 190' coad_mccv_enet.R
167	:	1538342380.091	   972.162	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 167' coad_mccv_enet.R
164	:	1538342379.409	   973.546	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 164' coad_mccv_enet.R
66	:	1538342356.376	  1000.101	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 66' coad_mccv_enet.R
20	:	1538342345.686	  1011.224	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 20' coad_mccv_enet.R
112	:	1538342367.169	   989.925	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 112' coad_mccv_enet.R
46	:	1538342351.663	  1007.714	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 46' coad_mccv_enet.R
152	:	1538342376.550	   983.074	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 152' coad_mccv_enet.R
59	:	1538342354.612	  1006.157	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 59' coad_mccv_enet.R
61	:	1538342355.124	  1007.220	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 61' coad_mccv_enet.R
12	:	1538342343.944	  1019.003	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 12' coad_mccv_enet.R
133	:	1538342372.036	   993.490	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 133' coad_mccv_enet.R
110	:	1538342366.700	   999.131	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 110' coad_mccv_enet.R
147	:	1538342375.254	   991.036	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 147' coad_mccv_enet.R
54	:	1538342353.436	  1013.141	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 54' coad_mccv_enet.R
141	:	1538342373.891	   992.733	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 141' coad_mccv_enet.R
72	:	1538342357.754	  1009.730	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 72' coad_mccv_enet.R
188	:	1538342385.303	   984.006	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 188' coad_mccv_enet.R
42	:	1538342350.739	  1019.392	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 42' coad_mccv_enet.R
96	:	1538342363.289	  1008.602	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 96' coad_mccv_enet.R
106	:	1538342365.780	  1006.473	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 106' coad_mccv_enet.R
125	:	1538342370.220	  1002.259	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 125' coad_mccv_enet.R
3	:	1538342341.986	  1030.855	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 3' coad_mccv_enet.R
11	:	1538342343.732	  1029.438	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 11' coad_mccv_enet.R
